tree,tool,unit_relpath,declaration,effect_kind,site,destructive,effect_relpath,effect_lineno,source_excerpt,judgment,judgment_reason,verified_by,date
v2-artyomzemlyak__tg-note,sync_docling_models,docker/docling-mcp/app/tg_docling/server.py,destructiveHint,FS_WRITE,shutil.rmtree,True,docker/docling-mcp/app/tg_docling/model_sync.py,515,"514: ) | 515: shutil.rmtree(target_dir) | 516: target_dir.mkdir(parents=True, exist_ok=True)",,,,
v2-dddabtc__winremote-mcp,AnnotatedSnapshot,src/winremote/__main__.py,readOnlyHint,SPAWN,subprocess.run,,src/winremote/__main__.py,629,"628: try: | 629: result = subprocess.run([""query"", ""session""], capture_output=True, text=True, timeout=10) | 630: if result.returncode != 0:",,,,
v2-dddabtc__winremote-mcp,App,src/winremote/__main__.py,"destructiveHint,openWorldHint",SPAWN,subprocess.run,,src/winremote/desktop.py,258,"257: cmd += f"" -ArgumentList '{safe_args}'"" | 258: subprocess.run([""powershell"", ""-NoProfile"", ""-Command"", cmd], timeout=10, capture_output=True) | 259: return f""Launched {name}""",,,,
v2-dddabtc__winremote-mcp,EventLog,src/winremote/__main__.py,readOnlyHint,SPAWN,subprocess.run,,src/winremote/services.py,10,"9: """"""Run a PowerShell command and return output."""""" | 10: result = subprocess.run( | 11: [""powershell"", ""-NoProfile"", ""-Command"", command],",,,,
v2-dddabtc__winremote-mcp,Notification,src/winremote/__main__.py,destructiveHint,SPAWN,subprocess.run,,src/winremote/desktop.py,357,"356: try: | 357: subprocess.run([""powershell"", ""-NoProfile"", ""-Command"", ps], timeout=10, capture_output=True) | 358: return ""Notification shown""",,,,
v2-dddabtc__winremote-mcp,OCR,src/winremote/__main__.py,readOnlyHint,SPAWN,subprocess.run,,src/winremote/ocr.py,103,"102: try: | 103: result = subprocess.run( | 104: [""powershell"", ""-NoProfile"", ""-Command"", ps_script],",,,,
v2-dddabtc__winremote-mcp,OCR,src/winremote/__main__.py,readOnlyHint,FS_WRITE,pathlib.Path.unlink,True,src/winremote/ocr.py,114,113: try: | 114: Path(tmp_path).unlink(missing_ok=True) | 115: except Exception:,,,,
v2-dddabtc__winremote-mcp,Ping,src/winremote/__main__.py,"openWorldHint,readOnlyHint",SPAWN,subprocess.run,,src/winremote/network.py,12,"11: try: | 12: result = subprocess.run( | 13: [""ping"", ""-n"", str(count), host],",,,,
v2-dddabtc__winremote-mcp,PlaySound,src/winremote/__main__.py,destructiveHint,FS_WRITE,builtins.open,True,src/winremote/__main__.py,798,"797: os.close(fd) | 798: with _open_validated_fetch_url(url, timeout=15) as resp, open(tmp_path, ""wb"") as out: | 799: remaining = 10 * 1024 * 1024",,,,
v2-dddabtc__winremote-mcp,PlaySound,src/winremote/__main__.py,destructiveHint,SPAWN,subprocess.run,,src/winremote/__main__.py,827,"826: ) | 827: result = subprocess.run( | 828: [""powershell"", ""-NoProfile"", ""-Command"", ps_command],",,,,
v2-dddabtc__winremote-mcp,PlaySound,src/winremote/__main__.py,destructiveHint,FS_WRITE,os.unlink,True,src/winremote/__main__.py,855,854: try: | 855: os.unlink(tmp_path) | 856: except Exception:,,,,
v2-dddabtc__winremote-mcp,ServiceList,src/winremote/__main__.py,readOnlyHint,SPAWN,subprocess.run,,src/winremote/services.py,10,"9: """"""Run a PowerShell command and return output."""""" | 10: result = subprocess.run( | 11: [""powershell"", ""-NoProfile"", ""-Command"", command],",,,,
v2-dddabtc__winremote-mcp,Snapshot,src/winremote/__main__.py,readOnlyHint,SPAWN,subprocess.run,,src/winremote/__main__.py,629,"628: try: | 629: result = subprocess.run([""query"", ""session""], capture_output=True, text=True, timeout=10) | 630: if result.returncode != 0:",,,,
v2-dddabtc__winremote-mcp,TaskList,src/winremote/__main__.py,readOnlyHint,SPAWN,subprocess.run,,src/winremote/services.py,10,"9: """"""Run a PowerShell command and return output."""""" | 10: result = subprocess.run( | 11: [""powershell"", ""-NoProfile"", ""-Command"", command],",,,,
v2-dddoh__paper-access-mcp,download_paper_from_link_tool,packages/paper-access-mcp/src/paper_access_mcp/server.py,"destructiveHint,openWorldHint",FS_WRITE,pathlib.Path.write_bytes,True,packages/paper-access-mcp/src/paper_access_mcp/core.py,56,55: pdf_path = root / normalized.filename | 56: pdf_path.write_bytes(pdf_bytes) | 57: ,,,,
v2-diterex__youtube-research-mcp,get_video_frames,src/yt_research_mcp/server.py,"destructiveHint,openWorldHint",FS_WRITE,shutil.rmtree,True,src/yt_research_mcp/server.py,844,"843: if name.startswith(""yt-research-frames-""): | 844: shutil.rmtree(os.path.join(parent, name), ignore_errors=True) | 845: except OSError:",,,,
v2-diterex__youtube-research-mcp,get_video_frames,src/yt_research_mcp/server.py,"destructiveHint,openWorldHint",FS_WRITE,os.remove,True,src/yt_research_mcp/server.py,858,857: try: | 858: os.remove(path) | 859: except OSError:,,,,
v2-diterex__youtube-research-mcp,get_video_frames,src/yt_research_mcp/server.py,"destructiveHint,openWorldHint",FS_WRITE,builtins.open,True,src/yt_research_mcp/server.py,998,"997: try: | 998: with open(path, ""wb"") as f: | 999: f.write(jpeg)",,,,
v2-dondetir__codegrok_mcp,learn,src/codegrok_mcp/mcp/server.py,destructiveHint,FS_WRITE,builtins.open,True,src/codegrok_mcp/indexing/source_retriever.py,628,"627: } | 628: with open(metadata_path, 'w') as f: | 629: json.dump(metadata, f, indent=2)",,,,
v2-dondetir__codegrok_mcp,memory_stats,src/codegrok_mcp/mcp/server.py,readOnlyHint,FS_WRITE,pathlib.Path.mkdir,False,src/codegrok_mcp/indexing/memory_retriever.py,84,"83: if persist_path: | 84: Path(persist_path).mkdir(parents=True, exist_ok=True) | 85: self.chroma_client = chromadb.PersistentClient(path=persist_path)",,,,
v2-dondetir__codegrok_mcp,recall,src/codegrok_mcp/mcp/server.py,readOnlyHint,FS_WRITE,pathlib.Path.mkdir,False,src/codegrok_mcp/indexing/memory_retriever.py,84,"83: if persist_path: | 84: Path(persist_path).mkdir(parents=True, exist_ok=True) | 85: self.chroma_client = chromadb.PersistentClient(path=persist_path)",,,,
v2-dondetir__codegrok_mcp,remember,src/codegrok_mcp/mcp/server.py,destructiveHint,FS_WRITE,builtins.open,True,src/codegrok_mcp/indexing/memory_retriever.py,126,"125: try: | 126: with open(metadata_path, 'w') as f: | 127: json.dump({'stats': self.stats}, f, indent=2)",,,,
v2-fanfan-de__anybox,get_blendfile_summary_datablocks_for_cli,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools/get_blendfile_summary_datablocks.py,readOnlyHint,FS_WRITE,os.remove,True,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools_helpers/blender_cli.py,165,164: try: | 165: os.remove(temp_path) | 166: except OSError as ex:,,,,
v2-fanfan-de__anybox,get_blendfile_summary_datablocks_for_cli,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools/get_blendfile_summary_datablocks.py,readOnlyHint,SPAWN,subprocess.run,,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools_helpers/blender_cli.py,69,"68: try: | 69: proc = subprocess.run( | 70: [blender, ""--background"", blend_file, ""--python-expr"", wrapper],",,,,
v2-fanfan-de__anybox,get_blendfile_summary_missing_files_for_cli,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools/get_blendfile_summary_missing_files.py,readOnlyHint,FS_WRITE,os.remove,True,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools_helpers/blender_cli.py,165,164: try: | 165: os.remove(temp_path) | 166: except OSError as ex:,,,,
v2-fanfan-de__anybox,get_blendfile_summary_missing_files_for_cli,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools/get_blendfile_summary_missing_files.py,readOnlyHint,SPAWN,subprocess.run,,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools_helpers/blender_cli.py,69,"68: try: | 69: proc = subprocess.run( | 70: [blender, ""--background"", blend_file, ""--python-expr"", wrapper],",,,,
v2-fanfan-de__anybox,get_blendfile_summary_of_linked_libraries_for_cli,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools/get_blendfile_summary_of_linked_libraries.py,readOnlyHint,FS_WRITE,os.remove,True,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools_helpers/blender_cli.py,165,164: try: | 165: os.remove(temp_path) | 166: except OSError as ex:,,,,
v2-fanfan-de__anybox,get_blendfile_summary_of_linked_libraries_for_cli,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools/get_blendfile_summary_of_linked_libraries.py,readOnlyHint,SPAWN,subprocess.run,,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools_helpers/blender_cli.py,69,"68: try: | 69: proc = subprocess.run( | 70: [blender, ""--background"", blend_file, ""--python-expr"", wrapper],",,,,
v2-fanfan-de__anybox,get_blendfile_summary_path_info_for_cli,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools/get_blendfile_summary_path_info.py,readOnlyHint,FS_WRITE,os.remove,True,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools_helpers/blender_cli.py,165,164: try: | 165: os.remove(temp_path) | 166: except OSError as ex:,,,,
v2-fanfan-de__anybox,get_blendfile_summary_path_info_for_cli,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools/get_blendfile_summary_path_info.py,readOnlyHint,SPAWN,subprocess.run,,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools_helpers/blender_cli.py,69,"68: try: | 69: proc = subprocess.run( | 70: [blender, ""--background"", blend_file, ""--python-expr"", wrapper],",,,,
v2-fanfan-de__anybox,get_blendfile_summary_usage_guess_for_cli,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools/get_blendfile_summary_usage_guess.py,readOnlyHint,FS_WRITE,os.remove,True,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools_helpers/blender_cli.py,165,164: try: | 165: os.remove(temp_path) | 166: except OSError as ex:,,,,
v2-fanfan-de__anybox,get_blendfile_summary_usage_guess_for_cli,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools/get_blendfile_summary_usage_guess.py,readOnlyHint,SPAWN,subprocess.run,,plugins/Anybox-Plugins/blender/runtime/blender-mcp/blmcp/tools_helpers/blender_cli.py,69,"68: try: | 69: proc = subprocess.run( | 70: [blender, ""--background"", blend_file, ""--python-expr"", wrapper],",,,,
v2-fbratten__agentspool,comm_heartbeat,agent_comm_mcp/server.py,destructiveHint,FS_WRITE,os.replace,True,agent_comm/registry.py,112,"111: json.dump(data, f, indent=2) | 112: os.replace(tmp_path, self.path) | 113: except Exception:",,,,
v2-fbratten__agentspool,comm_heartbeat,agent_comm_mcp/server.py,destructiveHint,FS_WRITE,os.unlink,True,agent_comm/registry.py,115,114: if os.path.exists(tmp_path): | 115: os.unlink(tmp_path) | 116: raise,,,,
v2-fbratten__agentspool,comm_register_agent,agent_comm_mcp/server.py,destructiveHint,FS_WRITE,os.replace,True,agent_comm/registry.py,112,"111: json.dump(data, f, indent=2) | 112: os.replace(tmp_path, self.path) | 113: except Exception:",,,,
v2-fbratten__agentspool,comm_register_agent,agent_comm_mcp/server.py,destructiveHint,FS_WRITE,os.unlink,True,agent_comm/registry.py,115,114: if os.path.exists(tmp_path): | 115: os.unlink(tmp_path) | 116: raise,,,,
v2-fbratten__agentspool,comm_relay_gen_secret,agent_comm_mcp/server.py,destructiveHint,FS_WRITE,pathlib.Path.write_text,True,agent_comm/relay/auth.py,32,"31: self.path.parent.mkdir(parents=True, exist_ok=True) | 32: self.path.write_text(json.dumps(self._secrets, indent=2)) | 33: ",,,,
v2-gwicho38__write-like-me-mcp,analyze_writing_style,src/write_like_me_mcp/server.py,destructiveHint,FS_WRITE,pathlib.Path.write_text,True,src/write_like_me_mcp/model.py,119,"118: path.parent.mkdir(parents=True, exist_ok=True) | 119: path.write_text(self.to_json(), encoding=""utf-8"") | 120: ",,,,
v2-innovatehubph__innovatehub-ai-platform,send_message,python/helpers/mcp_server.py,destructiveHint,FS_WRITE,shutil.rmtree,True,python/helpers/files.py,317,"316: # first try with ignore_errors=True which is the safest option | 317: shutil.rmtree(abs_path, ignore_errors=True) | 318: ",,,,
