# AuthGap の較正対 triage 表（§5.1 の列定義）。
# advisory_published は GitHub Advisory DB の published_at を採る（§5.1）。
#
# verified_by_me の意味（**ここを混ぜないこと**）:
#   sha+diff+two_sided = ref を git rev-parse で解決し、diff を目視し、
#                        AuthGap を両側に走らせてタプル変化を確認した
#   sha+diff           = ref と diff は一次確認したが AuthGap は未実行
#   none               = 仕様書 AUTHGAP_BRIEF_v3.md からの転記のみ。**未検証**
#
# expected_tuple_change は「採点前に凍結する」欄（§6 T1.1）。
# spec_expected_tuple_change は仕様書が書いていた値で、食い違う場合は
# notes に一次確認の内容を書く。**仕様書の値を黙って書き換えない。**
pair_id,cve_ids,ghsa_ids,repo,vuln_ref,fixed_ref,fix_commits,advisory_published,class,principal,two_sided,disappearance_reason,expected_tuple_change,spec_expected_tuple_change,required_sink_rows,weak_reason_needed,db_field_wrong,also_in_biflow_table3,verified_by_me,verified_against,notes
A1,CVE-2025-68145,,modelcontextprotocol/servers,9e5d5b8e,a37158bc,a37158bc1555ce0b1121ea98a3e740119d7fc8c7,,1a,MODEL,PASS,validator-add;normalisation-add,cwd: grade none -> strong-path; req_val MODEL -> OP（8 経路）,weak(prefix_no_canon) -> strong-path,"git.cmd.Git.* (proxy, from_ctor working_dir)",,,unchecked,sha+diff+two_sided,"corpus/A1__vuln,corpus/A1__fixed","一次確認: 脆弱側 9e5d5b8e に repo_path の包含検査は**存在しない**（Path(arguments[\repo_path\""]) が直接 git.Repo へ）。仕様書の脆弱側 weak(prefix_no_canon) は誤り。正しくは検証子なし。消滅理由も normalisation-add 単独ではなく validator-add（validate_repo_path の新設）。両側判別可能性は変わらず成立。git log -S relative_to で a37158b を独立に特定した（'Merge commit from fork' = §6 T1.3-4(a) のヒューリスティックに一致）"""
A2,CVE-2025-68144,,modelcontextprotocol/servers,d9c45477,9e5d5b8e,9e5d5b8e4b5d,,1a,MODEL,PASS,validator-add,argv[*]: grade none -> strong-token; req_val MODEL -> OP（git_checkout と git_diff の 2 経路）,weak(no_dash_reject) -> strong-token,git.cmd.Git.* (proxy),,,unchecked,sha+diff+two_sided,"corpus/A2__vuln,corpus/A2__fixed",一次確認: 脆弱側 d9c45477 の git_diff / git_checkout に検証子は**存在しない**。修正で両方に startswith('-') 拒否 + repo.rev_parse が入る。仕様書の脆弱側 weak(no_dash_reject) は誤り。正しくは検証子なし。**仕様書は git_checkout しか挙げていないが git_diff も同じ修正を受けている**
A3,CVE-2026-27735,,modelcontextprotocol/servers,dcb47d2d,db960508,db960508,,1a,MODEL,PASS,sink-substitution,FS_WRITE@git.IndexFile.add#path が消え、SPAWN@git.Git.add#argv[*] の主体が OP -> MODEL に変わる,"FS_WRITE(index.add, gate 無し) -> SPAWN(argv0='git', shell=False, '--' あり)",git.IndexFile.add (proxy); git.cmd.Git.* (proxy),,DB/advisory は merge commit 862e717 を指すが実体は db960508,unchecked,sha+diff+two_sided,"corpus/A3__vuln,corpus/A3__fixed","一次確認: diff は repo.index.add(files) -> repo.git.add('--', *files) の 1 行置換。proxy 行が無いと修正版が無言になるという仕様書の指摘は正しい。**verdict-clearing は対単位で×**（git_add の path は A4 まで GAP のまま）"
A4,,,modelcontextprotocol/servers,275175cd,0588ec09,0588ec09,（advisory 無し 2026-06-14）,1a,MODEL,PASS,dependency-bump;normalisation-add,argv[*] [git_add]: 検証なし -> strong-path、req_val MODEL -> OP,strong-token -> strong-token + strong-path,git.cmd.Git.* (proxy),,,unchecked,sha+diff+two_sided,"corpus/A4__vuln,corpus/A4__fixed",一次確認: server.py に 15 行追加（repo_root = Path(repo.working_dir).resolve() と for f in files: (repo_root / f).resolve().relative_to(repo_root)）、uv.lock も同時に変わる = 1 コミットに N/A 理由と ○ 理由が同居する実例。**4 対のうち唯一 verdict-clearing が対単位で○**
A5,CVE-2024-1881,,Significant-Gravitas/AutoGPT,1f1e8c9f,5090f55e,5090f55e,,2,MODEL,PASS,exec-mode-change,shell_string: exec_mode True -> config-conditional。argv0 と argv[*] の行が増える。weak 理由は両側とも first_token,"(weak(first_token), SPAWN(shell=True)) -> (weak(first_token), SPAWN(shell=False, argv))",subprocess.run; subprocess.Popen,first_token,DB 記載 26324f29 は .env.template の 4 行変更。実際は 5090f55e,unchecked,sha+diff+two_sided,"corpus/A5__vuln,corpus/A5__fixed","一次確認: command.split()[0] -> shlex.split(command_line)[0] と validate_command が (allow_execute, allow_shell) を返すようになる。**仕様書の期待とほぼ一致。** ただし修正側の shell は素の False ではなく config-conditional（shell_command_control に依存）で、F3 の「モードが確定しないときは 2 行出す」が働き shell_string 行と argv 行の両方が出る。AutoGPT の @command(名前, 説明, {スキーマ}) 形を R2 カタログに足して初めて入口として拾えた。スキーマ辞書のキーに無い agent は MODEL としない"
A6,CVE-2024-6091,GHSA-g84q-54hf-36rg,Significant-Gravitas/AutoGPT,,,,,1c,MODEL,NA,no-fix,—,—,subprocess.run,,DB 記載 ef691359 は docs 2 行の追加。修正ではない,unchecked,none,,仕様書からの転記。**未検証。** 修正なし。rubric 1c の典拠
A7,CVE-2026-35615,,MervinPraison/PraisonAI,3e29936e,d80bff2d,d80bff2d,,1a,MODEL,UNSCORED,normalisation-add,weak(no_containment) -> weak(prefix_no_boundary),同左,builtins.open; pathlib.Path.*,no_containment;prefix_no_boundary,,unchecked,none,,仕様書からの転記。**未検証。** 修正版も weak のまま
A8,,,MervinPraison/PraisonAI,d80bff2d,66932746,66932746,,1a,MODEL,EXCLUDED,normalisation-add,weak(prefix_no_boundary) -> strong-path,同左,,,,unchecked,none,,PraisonAI 上限（最大 3 対）により算入しない。親は 142db6c5 で 85 コミット離れている
A9,CVE-2026-55530,,MervinPraison/PraisonAI,9991e00f,2f9677ab,2f9677ab,,選択/承認欠落,MODEL,PASS,approval-add,req_occ(SPAWN@subprocess.run#argv[*]) MODEL -> USER,req_occ(SPAWN) MODEL -> USER,subprocess.run,,,unchecked,sha+diff+two_sided,"corpus/A9__vuln,corpus/A9__fixed",一次確認: @require_approval(risk_level='high') が ast_grep_rewrite に付く。**仕様書の期待どおり。** A10 と同一修正コミットなので 1 対として数える。ast_grep_rewrite は裸の関数を tools=[...] に渡す形でしか登録されておらず、R2 カタログに tools_list 形を足して初めて入口として拾えた
A10,CVE-2026-55540,,MervinPraison/PraisonAI,9991e00f,2f9677ab,2f9677ab,,1a,MODEL,PASS,normalisation-add,path: weak(no_symlink_resolution) -> strong-path、req_val MODEL -> OP,weak(no_symlink_resolution) -> strong-path,builtins.open; os.makedirs,no_symlink_resolution,,unchecked,sha+diff+two_sided,"corpus/A9__vuln,corpus/A9__fixed",一次確認: is_path_within_directory が abspath -> realpath に変わる。境界（abs_dir += os.sep）は両側とも正しい。**仕様書の期待タプルと完全一致した唯一の対。** A9 と 1 対
